panels: x | y_hat_novel | cond | mask(white=hole) | anchor | BASELINE_gen | MIRROR_gen

sample       | BASE full/hole/vis/lap          | MIRROR full/hole/vis/lap        | d_hole
000004_v1 (0.37) | 0.0644/0.0702/0.0610/0.0567 | 0.0747/0.0896/0.0661/0.0599 | +0.0193
000004_v2 (0.57) | 0.0951/0.1098/0.0756/0.0598 | 0.1047/0.1214/0.0823/0.1142 | +0.0116
000004_v3 (0.22) | 0.0437/0.0554/0.0405/0.0531 | 0.0503/0.0618/0.0471/0.0336 | +0.0064
000009_v1 (0.09) | 0.0251/0.0321/0.0245/0.0260 | 0.0348/0.0558/0.0327/0.0280 | +0.0237
000009_v2 (0.03) | 0.0279/0.0784/0.0264/0.0121 | 0.0276/0.0754/0.0261/0.0114 | -0.0030
000009_v3 (0.54) | 0.0640/0.0535/0.0765/0.0340 | 0.0832/0.0783/0.0891/0.0458 | +0.0248
000014_v1 (0.34) | 0.0709/0.1371/0.0367/0.0297 | 0.0808/0.1583/0.0409/0.0316 | +0.0212
000014_v2 (0.04) | 0.0357/0.0825/0.0338/0.0084 | 0.0468/0.0799/0.0455/0.0061 | -0.0026
000014_v3 (0.38) | 0.0256/0.0206/0.0287/0.0145 | 0.0459/0.0540/0.0408/0.0167 | +0.0334
