panels: x | y_hat_novel | cond | mask(white=hole) | anchor | BASELINE_gen | MIRROR_gen

sample       | BASE full/hole/vis/lap          | MIRROR full/hole/vis/lap        | d_hole
000004_v1 (0.37) | 0.0699/0.0630/0.0739/0.0479 | 0.0734/0.0918/0.0627/0.0687 | +0.0288
000004_v2 (0.57) | 0.1291/0.1425/0.1113/0.0682 | 0.1506/0.1815/0.1092/0.0568 | +0.0391
000004_v3 (0.22) | 0.0686/0.0734/0.0673/0.0307 | 0.0459/0.0734/0.0383/0.0429 | -0.0000
000009_v1 (0.09) | 0.0380/0.0600/0.0358/0.0269 | 0.0293/0.0668/0.0257/0.0324 | +0.0068
000009_v2 (0.03) | 0.0271/0.0680/0.0259/0.0160 | 0.0241/0.0831/0.0223/0.0140 | +0.0151
000009_v3 (0.54) | 0.0605/0.0345/0.0916/0.0305 | 0.0896/0.0830/0.0975/0.0401 | +0.0485
000014_v1 (0.34) | 0.0698/0.0932/0.0578/0.0394 | 0.0748/0.1489/0.0366/0.0312 | +0.0558
000014_v2 (0.04) | 0.0594/0.0813/0.0585/0.0178 | 0.0431/0.0793/0.0416/0.0280 | -0.0019
000014_v3 (0.38) | 0.0499/0.0375/0.0576/0.0243 | 0.0462/0.0565/0.0398/0.0180 | +0.0191
