panels: x | y_hat_novel | cond | mask(white=hole) | anchor | BASELINE_gen | MIRROR_gen

sample       | BASE full/hole/vis/lap          | MIRROR full/hole/vis/lap        | d_hole
000004_v1 (0.37) | 0.0699/0.0630/0.0739/0.0479 | 0.0646/0.0704/0.0613/0.0575 | +0.0073
000004_v2 (0.57) | 0.1291/0.1425/0.1113/0.0682 | 0.0954/0.1101/0.0758/0.0603 | -0.0324
000004_v3 (0.22) | 0.0686/0.0734/0.0673/0.0307 | 0.0443/0.0570/0.0407/0.0547 | -0.0164
000009_v1 (0.09) | 0.0380/0.0600/0.0358/0.0269 | 0.0250/0.0314/0.0243/0.0263 | -0.0286
000009_v2 (0.03) | 0.0271/0.0680/0.0259/0.0160 | 0.0277/0.0790/0.0262/0.0122 | +0.0110
000009_v3 (0.54) | 0.0605/0.0345/0.0916/0.0305 | 0.0640/0.0535/0.0765/0.0343 | +0.0190
000014_v1 (0.34) | 0.0698/0.0932/0.0578/0.0394 | 0.0709/0.1373/0.0367/0.0298 | +0.0441
000014_v2 (0.04) | 0.0594/0.0812/0.0585/0.0178 | 0.0354/0.0832/0.0335/0.0084 | +0.0020
000014_v3 (0.38) | 0.0499/0.0375/0.0576/0.0243 | 0.0259/0.0212/0.0288/0.0146 | -0.0163
