panels: x | y_hat_novel | cond | mask(white=hole) | anchor | BASELINE_gen | MIRROR_gen

sample       | BASE full/hole/vis/lap          | MIRROR full/hole/vis/lap        | d_hole
000004_v1 (0.37) | 0.0524/0.0424/0.0581/0.0319 | 0.0641/0.0607/0.0660/0.0790 | +0.0183
000004_v2 (0.57) | 0.1114/0.1283/0.0888/0.0388 | 0.1011/0.1133/0.0849/0.0834 | -0.0151
000004_v3 (0.22) | 0.0487/0.0605/0.0454/0.0379 | 0.0438/0.0585/0.0397/0.0384 | -0.0019
000009_v1 (0.09) | 0.0307/0.0484/0.0290/0.0212 | 0.0281/0.0625/0.0248/0.0195 | +0.0141
000009_v2 (0.03) | 0.0274/0.0611/0.0264/0.0150 | 0.0243/0.0872/0.0224/0.0189 | +0.0261
000009_v3 (0.54) | 0.0526/0.0317/0.0776/0.0264 | 0.0680/0.0470/0.0930/0.0427 | +0.0153
000014_v1 (0.34) | 0.0509/0.0737/0.0392/0.0264 | 0.0420/0.0524/0.0366/0.0384 | -0.0213
000014_v2 (0.04) | 0.0337/0.0672/0.0323/0.0138 | 0.0299/0.0893/0.0275/0.0092 | +0.0221
000014_v3 (0.38) | 0.0275/0.0243/0.0294/0.0166 | 0.0227/0.0130/0.0286/0.0182 | -0.0113
