panels: x | y_hat_novel | cond | mask(white=hole) | anchor | BASELINE_gen | MIRROR_gen

sample       | BASE full/hole/vis/lap          | MIRROR full/hole/vis/lap        | d_hole
000004_v1 (0.37) | 0.0699/0.0630/0.0739/0.0479 | 0.0627/0.0657/0.0610/0.0530 | +0.0027
000004_v2 (0.57) | 0.1291/0.1425/0.1113/0.0682 | 0.0927/0.1069/0.0736/0.0523 | -0.0356
000004_v3 (0.22) | 0.0686/0.0734/0.0673/0.0307 | 0.0430/0.0393/0.0441/0.0341 | -0.0341
000009_v1 (0.09) | 0.0380/0.0600/0.0358/0.0269 | 0.0246/0.0277/0.0243/0.0260 | -0.0323
000009_v2 (0.03) | 0.0271/0.0680/0.0259/0.0160 | 0.0256/0.0747/0.0241/0.0104 | +0.0067
000009_v3 (0.54) | 0.0605/0.0345/0.0916/0.0305 | 0.0686/0.0556/0.0840/0.0335 | +0.0211
000014_v1 (0.34) | 0.0698/0.0932/0.0578/0.0394 | 0.0723/0.1398/0.0374/0.0255 | +0.0467
000014_v2 (0.04) | 0.0594/0.0813/0.0585/0.0178 | 0.0290/0.0906/0.0265/0.0081 | +0.0093
000014_v3 (0.38) | 0.0499/0.0375/0.0576/0.0243 | 0.0432/0.0555/0.0355/0.0117 | +0.0180
