arm,step,tex_gen_hole,tex_anchor_hole,tex_yhat_hole,tex_gen_visible,good
B,43999,0.01904,0.00164,0.00275,0.12095,0
B,45999,0.02295,0.00528,0.01012,0.03742,1
B,47999,0.02084,0.00164,0.00275,0.11689,0
B,49999,0.01348,0.00518,0.00892,0.02307,1
B,51999,0.01684,0.00164,0.00275,0.11226,0
B,53999,0.03844,0.00528,0.01012,0.08210,1
B,55999,0.01936,0.00164,0.00275,0.12829,0
B,57999,0.02136,0.00164,0.00275,0.02698,0
B,59999,0.01836,0.00164,0.00275,0.12474,0
B,61999,0.04017,0.00528,0.01012,0.05160,1
B,63999,0.01786,0.00164,0.00275,0.11473,0
B,65999,0.03285,0.00518,0.00892,0.10419,1
B,67999,0.02876,0.00518,0.00892,0.09737,1
B,69999,0.02239,0.00528,0.01012,0.03843,1
B,71999,0.04885,0.00528,0.01012,0.04516,1
B,73999,0.02310,0.00164,0.00275,0.11825,0
B,75999,0.03172,0.00528,0.01012,0.04773,1
B,77999,0.01458,0.00164,0.00275,0.12296,0
B,79999,0.01773,0.00164,0.00275,0.12198,0
B,81999,0.01357,0.00518,0.00892,0.02308,1
B,83999,0.01519,0.00518,0.00892,0.02367,1
B,85999,0.02348,0.00164,0.00275,0.03496,0
B,87999,0.01740,0.00164,0.00275,0.03145,0
B,89999,0.02021,0.00528,0.01012,0.03022,1
B,91999,0.01506,0.00164,0.00275,0.11134,0
B,93999,0.01348,0.00518,0.00892,0.02331,1
B,95999,0.01955,0.00164,0.00275,0.10384,0
B,97999,0.01553,0.00164,0.00275,0.02466,0
B,99999,0.01969,0.00164,0.00275,0.10964,0
B,101999,0.02224,0.00164,0.00275,0.12294,0
B,103999,0.02518,0.00518,0.00892,0.02904,1
B,105999,0.01881,0.00164,0.00275,0.11051,0
B,107999,0.02345,0.00528,0.01012,0.03824,1
B,109999,0.02505,0.00518,0.00892,0.08860,1
B,111999,0.01725,0.00164,0.00275,0.12385,0
B,113999,0.01833,0.00518,0.00892,0.02673,1
B,115999,0.01128,0.00164,0.00275,0.02543,0
B,117999,0.01806,0.00518,0.00892,0.02990,1
B,119999,0.02383,0.00528,0.01012,0.03538,1
B,121999,0.01881,0.00528,0.01012,0.02773,1
B,123999,0.03311,0.00528,0.01012,0.04520,1
B,125999,0.03616,0.00528,0.01012,0.08269,1
B,127999,0.02189,0.00528,0.01012,0.03627,1
B,129999,0.01989,0.00518,0.00892,0.05482,1
B,131999,0.02370,0.00518,0.00892,0.08372,1
B,133999,0.01283,0.00518,0.00892,0.02403,1
B,135999,0.01120,0.00518,0.00892,0.02080,1
B,137999,0.01981,0.00518,0.00892,0.06399,1
B,139999,0.01683,0.00164,0.00275,0.08650,0
B,141999,0.01566,0.00518,0.00892,0.02244,1
B,143999,0.01733,0.00528,0.01012,0.03241,1
B,145999,0.01448,0.00164,0.00275,0.08138,0
B,147999,0.02417,0.00528,0.01012,0.04645,1
B,149999,0.01880,0.00164,0.00275,0.09710,0
B,151999,0.01526,0.00518,0.00892,0.02133,1
B,153999,0.01960,0.00528,0.01012,0.02807,1
B,155999,0.01986,0.00164,0.00275,0.08458,0
B,157999,0.01543,0.00164,0.00275,0.02627,0
B,159999,0.01945,0.00528,0.01012,0.02740,1
B,161999,0.02687,0.00528,0.01012,0.03836,1
B,163999,0.02507,0.00528,0.01012,0.04108,1
B,165999,0.01585,0.00164,0.00275,0.10246,0
