panels: x | y_hat_novel | cond | mask(white=hole) | anchor | BASELINE_gen | MIRROR_gen

sample       | BASE full/hole/vis/lap          | MIRROR full/hole/vis/lap        | d_hole
000004_v1 (0.37) | 0.0699/0.0630/0.0739/0.0479 | 0.0747/0.0896/0.0661/0.0599 | +0.0265
000004_v2 (0.57) | 0.1291/0.1425/0.1113/0.0682 | 0.1047/0.1214/0.0823/0.1142 | -0.0211
000004_v3 (0.22) | 0.0686/0.0735/0.0673/0.0307 | 0.0503/0.0618/0.0471/0.0337 | -0.0116
000009_v1 (0.09) | 0.0380/0.0600/0.0358/0.0269 | 0.0348/0.0558/0.0327/0.0280 | -0.0042
000009_v2 (0.03) | 0.0271/0.0680/0.0259/0.0160 | 0.0276/0.0754/0.0261/0.0114 | +0.0074
000009_v3 (0.54) | 0.0605/0.0345/0.0916/0.0305 | 0.0832/0.0783/0.0891/0.0458 | +0.0438
000014_v1 (0.34) | 0.0698/0.0932/0.0578/0.0394 | 0.0809/0.1583/0.0409/0.0316 | +0.0651
000014_v2 (0.04) | 0.0594/0.0813/0.0585/0.0178 | 0.0468/0.0799/0.0455/0.0061 | -0.0014
000014_v3 (0.38) | 0.0499/0.0375/0.0576/0.0243 | 0.0459/0.0540/0.0408/0.0167 | +0.0165
