panels: x | y_hat_novel | cond | mask(white=hole) | anchor | BASELINE_gen | MIRROR_gen

sample       | BASE full/hole/vis/lap          | MIRROR full/hole/vis/lap        | d_hole
000004_v1 (0.37) | 0.0699/0.0630/0.0739/0.0479 | 0.0644/0.0702/0.0610/0.0567 | +0.0072
000004_v2 (0.57) | 0.1291/0.1425/0.1113/0.0682 | 0.0951/0.1098/0.0756/0.0598 | -0.0327
000004_v3 (0.22) | 0.0686/0.0734/0.0673/0.0307 | 0.0437/0.0554/0.0405/0.0531 | -0.0181
000009_v1 (0.09) | 0.0380/0.0600/0.0358/0.0269 | 0.0251/0.0321/0.0245/0.0260 | -0.0279
000009_v2 (0.03) | 0.0271/0.0680/0.0259/0.0160 | 0.0279/0.0784/0.0264/0.0121 | +0.0104
000009_v3 (0.54) | 0.0605/0.0345/0.0916/0.0305 | 0.0640/0.0535/0.0765/0.0340 | +0.0190
000014_v1 (0.34) | 0.0698/0.0932/0.0578/0.0394 | 0.0709/0.1371/0.0367/0.0297 | +0.0439
000014_v2 (0.04) | 0.0594/0.0812/0.0585/0.0178 | 0.0357/0.0825/0.0338/0.0084 | +0.0012
000014_v3 (0.38) | 0.0499/0.0375/0.0576/0.0243 | 0.0256/0.0206/0.0287/0.0145 | -0.0169
